Asset Name,Token Name
MCDEX,MCB
MagicCraft,MCRT
Metacraft,MCT
Mdex,MDX
MetaversePRO,META
Metis Token,METIS
MetaFace,MFT
Mirror Protocol,MIR
Media Licensing Tok,MLT
Moebius,MOBI
Monaco Planet,MONA
MetaPlanet,MPL
MetaRacers,MRS
Meter Governance,MTRG
MultiVAC,MTV
Multiverse Capital,MVC
MVL,MVL
Mysterium,MYST
NanoByte,NBT
APENFT,NFT
Numbers Protocol,NUM
Newscrypto Coin,NWC
Next Token,NXT
MANTRA DAO,OM
One,ONE
Binance Peg Ontolog,ONT
OpenOcean,OOE
Opulous,OPUL
Oraichain Token,ORAI
Orbs,ORBS
Orclands Metaverse,ORC
Synth oUSD,OUSD
Ovr,OVR
Peakmines PEAK,PEAK
PERL eco,PERL
Phoenix Global,PHB
Pitbull,PIT
PiratesKing,PKT
pNetwork,PNT
Polis,POLIS
Polkastarter,POLS
FarmPoly,POLY
Poolz Finance,POOLZ
Portuma,POR
FC Porto,PORTO
Position Token,POSI
Prometeus,PROM
Prosper,PROS
PARSIQ,PRQ
Rich Quack,QUACK
Radio Caca,RACA
Raicoin,RAI
Rainicorn,RAINI
RAMP,RAMP
Rari Token,RARI
Raydium  Wormhole,RAY
Reef Finance,REEF
Zerogoki,REI
Rinnegan,REN
renBTC,RENBTC
Revolution,REV
REVV,REVV
RedFOX Labs,RFOX
RING Financial,RING
RiseHero,RISE
ROSE  Wormhole,ROSE
Rune,RUNE
RocketX,RVF
SpaceXliFe,SAFE
Saito,SAITO
Santos FC Fan Token,SANTOS
SilverCoin,SC
Scope,SCP
SingularityDAO,SDAO
SafePal,SFP
Seedify fund,SFUND
SHILL Token,SHILL
shera,SHR
Signum,SIGNA
SafeNotMoon,SNM
SociLink,SOC
SOL  Wormhole,SOL
SOS Foundation,SOS
Phantasma,SOUL
Spartan Token,SPA
Splinterlands,SPS
StrikeX,STRX
SuperFarm,SUPER
inSure DeFi,SURE
Sushi,SUSHI
Trustswap,SWAP
Carbon Token,SWTH
Swipe,SXP
Synapse,SYN
Taboo Token,TABOO
Teneo,TEN
Thetan Arena,THG
Madagascar Token,TIME
Tokocrypto,TKO
TOKPIE,TKP
Alien Worlds  BSC,TLM
To The Moon Token,TON
NFT Tone,TONE
Tornado Cash,TORN
Token Pocket,TPT
TRON  BSC,TRX
Trillium,TT
TrueUSD,TUSD
Trust Wallet Token,TWT
UFO,UFO
UniLend Finance,UFT
UniCrypt,UNCX
Unifi Protocol DAO,UNFI
Uniswap,UNI
Aurox Token,URUS
USD Coin,USDC
Tether,USDT
Vai,VAI
Valkyrie Network,VAL
ValorFoundation,VALOR
Velo,VELO
vEmpire DDAO,VEMP
VIDT Datalink,VIDT
Vita Inu,VINU
Vite,VITE
Velas,VLX
Volt Inu,VOLT
Venus Reward Token,VRT
Wrapped BNB,WBNB
Whale Fall,WHALE
Wild Island Game,WILD
WINkLink BSC,WIN
Wodex,WMT
WOO Network,WOO
Woonkly Power,WOOP
WazirX,WRX
WeWay,WWY
XCAD Network,XCAD
Exeedme,XED
Offshift,XFT
Proton,XPR
ProximaX,XPX
Binance Peg XRP,XRP
Torum,XTM
Venus,XVS
YooShi,YOOSHI
Zilliqa,ZIL
Zenon,ZNN
Mysterium,MYST
Zerogoki,REI
Bitrue Coin,BTR
AXL INU,AXL
Matrix AI Network,MAN
Keep Network,KEEP
SelfKey,KEY
Humanscape,HUM
Crystal Clear,CCT
PHILLIPS PAY COIN,PPC
Vectorspace AI,VXV
Axie Infinity,AXS
LooksRare,LOOKS
OKB,OKB
dYdX,DYDX
Linker Coin,LNC
USDP Stablecoin,USDP
COTI,COTI
Metis Token,METIS
Elastos,ELA
Keep3rV1,KP3R
Kyber Network Cryst,KNC
Enjin Coin,ENJ
STAKE,STAKE
Sushi,SUSHI
Circuits of Value,COVAL
Celer Network,CELR
Origin Protocol,OGN
AiLink Token,ALI
Bancor Network Toke,BNT
FUSION,FSN
NEXO,NEXO
Mossland,MOC
Metroverse,MET
Syntropy,NOIA
Ocean Protocol,OCEAN
Darwinia Network Na,RING
Rari Governance Tok,RGT
Smart Valor,VALOR
Bitball Treasure,BTRS
Gnosis,GNO
Polymath,POLY
Cartesi,CTSI
NFT Worlds,WRLD
Game Stars,GST
Oogear,OG
CryptoSoul,SOUL
The Transfer Token,TTT
Wild Credit,WILD
CoinPoker,CHP
Fetch ai,FET
Magic Internet Mone,MIM
Alchemix,ALCX
Orbit Chain,ORC
Shiba Predator,QOM
SKALE,SKL
Saitama Inu,SAITAMA
BnkToTheFuture,BFT
DexTools,DEXT
UMA,UMA
DUSK Network,DUSK
Decentral Games,DG
REN,REN
Offshift,XFT
Stader,SD
Genesis Mana,MANA
Media Licensing Tok,MLT
Basic Attention Tok,BAT
Ultra,UOS
GET Protocol,GET
DeFi Pulse Index,DPI
Impermax,IMX
Alpha Finance,ALPHA
TOKPIE,TKP
USD Coin,USDC
Cajutel,CAJ
Biconomy,BICO
1inch,1INCH
DigixDAO,DGD
Rai Reflex Index,RAI
CEEK Smart VR Token,CEEK
Uquid Coin,UQC
Waves Ducks,EGG
Terran Coin,TRR
The Sandbox,SAND
dKargo,DKA
Telcoin,TEL
Spell Token,SPELL
Huobi Token,HT
The Graph,GRT
IDEX,IDEX
TrueUSD,TUSD
UniCrypt,UNCX
Efinity Token,EFI
Aurox Token,URUS
SuperFarm,SUPER
MVL,MVL
Highstreet,HIGH
PlayKey,PKT
Velas,VLX
API3,API3
Proton,XPR
vEmpire DDAO,VEMP
SUN,SUN
StormX,STMX
Alpha Quark Token,AQT
0x,ZRX
ZKSpace,ZKS
SoMee Social  OLD,ONG
Aleph im,ALEPH
Wrapped Bitcoin,WBTC
Cronos,CRO
Bio Passport,BIOT
GridPlus  OLD,GRID
LATOKEN,LA
Dai,DAI
KOK Coin,KOK
Crypterium,CRPT
Ethernity Chain,ERN
One,ONE
OriginTrail,TRAC
RSS3,RSS3
Chromia,CHR
LEO Token,LEO
Polygon,MATIC
Marinade staked SOL,MSOL
Fruits,FRTS
Gods Unchained,GODS
Verasity,VRA
Chainlink,LINK
Function X,FX
TEMCO,TEMCO
DXdao,DXD
MaidCoin,MAID
Shiba Inu,SHIB
Binance USD,BUSD
MicroTuber,MCT
Fantom,FTM
Dogelon Mars,ELON
Aave,AAVE
FTX Token,FTT
Stargate Finance,STG
Centrality,CENNZ
WOO Network,WOO
Tether,USDT
Chain,XCN
Civilization,CIV
APE,APE
Connectico,CON
Revain,REV
Arcblock,ABT
HedgeTrade,HEDG
PlayDapp,PLA
Boba Network,BOBA
Mob Inu,MOB
All Sports,SOC
Artemis Vision,ARV
Rupiah Token,IDRT
PolkaFoundry,PKF
Prometeus,PROM
Frax,FRAX
yearn finance,YFI
Sovryn,SOV
hi Dollar,HI
DigitalBits,XDB
Cobak Token,CBK
Radicle,RAD
Synthetix Network T,SNX
Acash Coin,ACA
Presearch,PRE
AltEstate Token,ALT
Loopring,LRC
Magic Inu,MAGIC
Tokenomy,TEN
Fuse,FUSE
Firmachain,FCT
Maker,MKR
Unit Protocol,COL
Tokemak,TOKE
Litentry,LIT
USDK,USDK
Locus Chain,LOCUS
WHALE,WHALE
DeFine,DFA
Render Token,RNDR
DEAPCOIN,DEP
My Neighbor Alice,ALICE
Victoria VR,VR
Shardus,ULT
TrustVerse,TRV
Nexus Mutual,NXM
iExec RLC,RLC
Ampleforth,AMPL
Orbs,ORBS
Quant,QNT
Exeedme,XED
Rocket Pool,RPL
Aurora,AURORA
Somnium Space CUBEs,CUBE
Wirex,WXT
Gitcoin,GTC
CACHE Gold,CGT
Band Protocol,BAND
PolySwarm,NCT
Crust Network,CRU
Carry,CRE
Mask Network,MASK
Origin Dollar,OUSD
Synapse,SYN
Tornado Cash,TORN
Waves,WAVES
Gala,GALA
Token Pocket,TPT
Chiliz,CHZ
Emirex Token,EMRX
Clover,CLV
Electric Vehicle Zo,EVZ
Audius,AUDIO
Aeternity,AE
Vulcan Forged,PYR
Refereum,RFR
Chimpion,BNANA
Reserve Rights Toke,RSR
Dollars,USDX
COCOS BCX,COCOS
Red,RED
SingularityNET,AGIX
Livepeer,LPT
Automata,ATA
Curve DAO Token,CRV
Banana Finance,BANANA
Shping,SHPING
Student Coin,STC
KuCoin Token,KCS
Opulous,OPUL
Celsius Network,CEL
MovieBloc,MBL
Serum,SRM
XCAD Network,XCAD
Yield Guild Games,YGG
Ribbon Finance,RBN
CobraGoose,CBG
PAX Gold,PAXG
JasmyCoin,JASMY
CoinLoan,CLT
ASTA,ASTA
HEX,HEX
Hillstone Finance,HSF
Cryptyk,CTK
Raydium  Wormhole,RAY
CryptoFranc,XCHF
Aergo,AERGO
DeRace,DERC
Mirror Protocol,MIR
DIA,DIA
UniLend Finance,UFT
Ambire AdEx,ADX
Frontier,FRONT
Vite,VITE
Neutrino USD,USDN
DerivaDAO,DDX
Everscale,EVER
Alchemy Pay,ACH
MANTRA DAO,OM
GuildFi,GF
TomTomCoin,TOMS
Adappter Token,ADP
Cryptex Finance,CTX
Guild of Guardians,GOG
BORA,BORA
Illuvium,ILV
OpenDAO,SOS
Aventus,AVT
Bloomzed Loyalty Cl,BLCT
Voyager Token,VGX
Ethereum Name Servi,ENS
Injective,INJ
UFO Gaming,UFO
TONToken,TON
Rally,RLY
apM Coin,APM
Prosper,PROS
Orion Protocol,ORN
Zynecoin,ZYN
ICHI,ICHI
Fenerbah e Token,FB
FOAM,FOAM
Frax Share,FXS
BiFi,BIFI
Alien Worlds,TLM
BarnBridge,BOND
GoMoney2,GOM2
DAD,DAD
Pendle,PENDLE
Atari,ATRI
BaaSid,BAAS
MATH,MATH
Baby Token,BABY
GMT Token,GMT
Cellframe,CELL
Vaiot,VAI
AllianceBlock,ALBT
HyperDAO,HDAO
REAPit,REAP
AMO Coin,AMO
pSTAKE Finance,PSTAKE
HUNT,HUNT
SuperRare,RARE
Compound,COMP
Hegic,HEGIC
Social Finance,SOFI
Bitforex Token,BF
Quantstamp,QSP
Santa Capital,SC
1eco,1ECO
Invictus Hyperion F,IHF
Instrumental Financ,STRM
MixMarvel,MIX
Adventure Gold,AGLD
Buying com,BUY
Component,CMP
QASH,QASH
Nakamoto Games,NAKA
LINA,LINA
MX Token,MX
Elitium,EUM
Gold Mining Members,GMM
ONBUFF,ONIT
NvirWorld,NVIR
Tether Gold,XAUT
1World,1WO
BASIC,BASIC
Epanus,EPS
VALOBIT,VBIT
Stox,STX
ForTube,FOR
Lossless,LSS
Metaverse Capital,MVC
Bifrost,BFC
Cube,AUTO
Gas DAO,GAS
King DAG,KDAG
Maro,MARO
ELYSIA,EL
Nest Protocol,NEST
ZEON Network,ZEON
Metadium,META
Dacxi,DACXI
Sentinel Protocol,UPP
Abyss,ABYSS
MASQ,MASQ
SENSO,SENSO
Atomic Wallet Coin,AWC
HOPR,HOPR
QuarkChain,QKC
Trillion,TT
Arianee,ARIA20
Quadrant Protocol,EQUAD
Wabi,WABI
Populous,PPT
Request,REQ
Jupiter,JUP
Cult DAO,CULT
Threshold Network T,T
CoinEx Token,CET
PowerPool Concentra,CVP
ShareToken,SHR
MandoX,MANDOX
TitanSwap,TITAN
Cardstack,CARD
Strike,STRK
DODO,DODO
APENFT,NFT
Kromatika,KROM
Morpheus Network,MNW
0chain,ZCN
Holo,HOT
Vidya,VIDYA
ERC20,ERC20
ConstitutionDAO,PEOPLE
VIDT Datalink,VIDT
Router Protocol,ROUTE
RedFOX Labs,RFOX
GamerCoin,GHX
RAKON,RKN
Gifto,GTO
Balancer,BAL
Dawn Protocol,DAWN
Huobi BTC,HBTC
Flux Protocol,FLUX
STP Network,STPT
Star Atlas  Wormhol,ATLAS
Maple,MPL
OMG Network,OMG
HAPI,HAPI
Era Swap Token,ES
Hermez Network,HEZ
SOLO Vault  NFTX,SOLO
XYO Network,XYO
Rarible,RARI
Quiztok,QTCON
Infinity Pad,IPAD
Shyft Network,SHFT
Saito,SAITO
AVINOC,AVINOC
STASIS EURO,EURS
XDC Network,XDC
ChangeNOW,NOW
MultiVAC,MTV
DAO Maker,DAO
ShapeShift FOX Toke,FOX
MAP Protocol,MAP
SwissBorg,CHSB
DeXe,DEXE
Deeper Network,DPR
dForce Token,DF
AirSwap,AST
Akropolis,AKRO
BLOCKv,VEE
Meme,MEME
SSV Network,SSV
BTSE Token,BTSE
Amun DeFi Index,DFI
Gemini Dollar,GUSD
Bone,BONE
Boson Protocol,BOSON
Volt Inu,VOLT
PEAKDEFI,PEAK
Town Star,TOWN
XSGD,XSGD
RAMP,RAMP
Polkastarter,POLS
district0x,DNT
GateToken,GT
Merit Circle,MC
Tokenlon,LON
Ovr,OVR
Sidus,SIDUS
Goldfinch,GFI
Unicly CryptoPunks,UPUNK
Dora Factory,DORA
Stratos,STOS
Unifi Protocol DAO,UNFI
Sentinel  OLD,DVPN
Reserve,RSV
sUSD,SUSD
BitDAO,BIT
Dego Finance,DEGO
Ankr,ANKR
Tellor,TRB
Stratis,STRAX
Unisocks,SOCKS
Enzyme,MLN
Everest,ID
Mandala Exchange To,MDX
Clearpool,CPOOL
Rainicorn,RAINI
BitMart Token,BMX
pNetwork,PNT
DeversiFi,DVF
DeFIL,DFL
Cirus,CIRUS
Hifi Finance,MFT
Augur,REP
SUKU,SUKU
OAX,OAX
XAYA,CHI
Covalent,CQT
Viberate,VIB
XMON,XMON
SOLVE,SOLVE
Marlin,POND
Pundi X,PUNDIX
KRYLL,KRL
Monavale,MONA
Poolz Finance,POOLZ
Drep  new,DREP
Molecular Future,MOF
SingularityDAO,SDAO
Dvision Network,DVI
SOL  Wormhole,SOL
Pintu Token,PTU
Freeway Token,FWT
Numbers Protocol,NUM
CropBytes,CBX
Beta Finance,BETA
Ampleforth Governan,FORTH
SXP,SXP
HUSD,HUSD
Binance Coin  Wormh,BNB
Adshares,ADS
Qredo,QRDO
Hoge Finance,HOGE
GYEN,GYEN
Metal,MTL
THORChain  ERC20,RUNE
Assemble Protocol,ASM
Perpetual Protocol,PERP
Creditcoin,CTC
BitcoinBrand,BTCB
Propy,PRO
Dragonchain,DRGN
Loom Network  NEW,LOOM
Streamr,DATA
Xeno Token,XNO
Veritaseum,VERI
Aragon,ANT
Sora Validator Toke,VAL
Ooki,OOKI
smARTOFGIVING,AOG
MCDEX,MCB
Misbloc,MSB
Lattice Token,LTX
SWFTCOIN,SWFTC
XDEFI,XDEFI
BitKan,KAN
SONM,SNM
Sperax,SPA
Efforce,WOZX
Torum,XTM
Ethereum Push Notif,PUSH
Power Ledger,POWR
DFI money,YFII
Swarm,BZZ
NFTX,NFTX
Receive Access Ecos,RAE
Braintrust,BTRST
aelf,ELF
Measurable Data Tok,MDT
ARPA Chain,ARPA
TrueFi,TRU
KeeperDAO,ROOK
Terra Virtua Kolect,TVK
Numeraire,NMR
Golem,GLM
InsurAce,INSUR
Cere Network,CERE
Fei USD,FEI
AscendEx Token,ASD
Bitget Token,BGB
inSure DeFi,SURE
cVault finance,CORE
WOM Protocol,WOM
DeFi Yield Protocol,DYP
LTO Network,LTO
Reef Finance,REEF
Pluton,PLU
Tribe,TRIBE
Chain Guardians,CGG
Cream,CREAM
Futureswap,FST
Storj,STORJ
PERL eco,PERL
BEPRO Network,BEPRO
PARSIQ,PRQ
Convergence,CONV
Santiment Network T,SAN
Gameswap,GSWAP
Dent,DENT
Dfyn Network,DFYN
Trustswap,SWAP
Waltonchain,WTC
MXC,MXC
NKN,NKN
AIOZ Network,AIOZ
StarLink,STARL
Status,SNT
Phala Network,PHA
Wrapped NCG,WNCG
mStable USD,MUSD
Cudos,CUDOS
Wrapped NXM,WNXM
renBTC,RENBTC
Cratos,CRTS
DxChain Token,DX
RocketX,RVF
Quickswap,QUICK
BoringDAO  OLD,BOR
FUNToken,FUN
chrono tech,TIME
Bluzelle,BLZ
TE FOOD,TONE
Everipedia,IQ
Epik Prime,EPIK
Civic,CVC
CVI,GOVI
Badger DAO,BADGER
Swash,SWASH
Utrust,UTK
Harvest Finance,FARM
Ternoa,CAPS
Sora,XOR
e Radix,EXRD
Sylo,SYLO
Orchid Protocol,OXT
Probit Token,PROB
YIELD App,YLD
BOSAGORA,BOA
REVV,REVV
Oraichain Token,ORAI
NuCypher,NU
Convex Finance,CVX
Bondly,BONDLY
Liquity USD,LUSD
Kleros,PNK
Lido DAO,LDO
Bounce,AUCTION
Polkamarkets,POLK
Gelato,GEL
Aavegotchi,GHST
Inverse Finance,INV
Wrapped Terra,LUNA
Polkadex,PDEX
LCX,LCX
Unibright,UBT
Bella Protocol,BEL
Vega Protocol,VEGA
Liquity,LQTY
Amp,AMP
Nash,NEX
Anchor Protocol,ANC
MobieCoin,MBX
Hacken Token,HAI
Handshake,HNS
Carbon Protocol,SWTH
OpenOcean,OOE
Coin98,C98
Obyte,GBYTE
Anyswap,ANY
Stafi,FIS
Neutrino System Bas,NSBT
EverRise,RISE
Radio Caca,RACA
Newscrypto Coin,NWC
Zano,ZANO
Mines of Dalarnia,DAR
Spookyswap,BOO
Woonkly Power,WOOP
WeWay,WWY
ROSE  Wormhole,ROSE
BitTorrent,BTT
Smooth Love Potion,SLP
Tether,USDT
